,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary
0,39.0,1,77516.0,5,13.0,1,0,1,4,1,40,1,0
1,50.0,2,83311.0,5,13.0,0,3,0,4,1,13,1,0
2,38.0,0,215646.0,2,9.0,2,5,1,4,1,40,1,0
3,53.0,0,234721.0,4,7.0,0,5,0,2,1,40,1,0
4,28.0,0,338409.0,5,13.0,0,9,5,2,0,40,0,0
5,37.0,0,284582.0,1,14.0,0,3,5,4,0,40,1,0
6,49.0,0,160187.0,4,5.0,2,7,1,2,0,16,0,0
7,52.0,2,209642.0,2,9.0,0,3,0,4,1,45,1,1
8,31.0,0,45781.0,1,14.0,1,9,1,4,0,50,1,1
9,42.0,0,159449.0,5,13.0,0,3,0,4,1,40,1,1
10,37.0,0,280464.0,3,10.0,0,3,0,2,1,80,1,1
11,30.0,1,141297.0,5,13.0,0,9,0,1,1,40,0,1
12,23.0,0,122272.0,5,13.0,1,0,3,4,0,30,1,0
13,32.0,0,205019.0,3,12.0,1,11,1,2,1,50,1,0
14,40.0,0,121772.0,3,11.0,0,2,0,1,1,40,1,1
15,34.0,0,245487.0,4,4.5,0,13,0,0,1,45,0,0
16,25.0,2,176756.0,2,9.0,1,4,3,4,1,35,1,0
17,32.0,0,186824.0,2,9.0,1,6,4,4,1,40,1,0
18,38.0,0,28887.0,4,7.0,0,11,0,4,1,50,1,0
19,43.0,2,292175.0,1,14.0,2,3,4,4,0,45,1,1
20,40.0,0,193524.0,0,16.0,0,9,0,4,1,60,1,1
21,54.0,0,302146.0,2,9.0,2,7,4,2,0,20,1,0
22,35.0,1,76845.0,4,5.0,0,4,0,2,1,40,1,0
23,43.0,0,117037.0,4,7.0,0,13,0,4,1,40,1,0
24,59.0,0,109015.0,2,9.0,2,12,4,4,0,40,1,0
25,56.0,1,216851.0,5,13.0,0,12,0,4,1,40,1,1
26,19.0,0,168294.0,2,9.0,1,2,3,4,1,40,1,0
27,54.0,0,180211.0,3,10.0,0,9,0,1,1,60,0,1
28,39.0,0,367260.0,2,9.0,2,3,1,4,1,80,1,0
29,49.0,0,193366.0,2,9.0,0,2,0,4,1,40,1,0
30,23.0,1,190709.0,3,12.0,1,10,1,4,1,52,1,0
31,20.0,0,266015.0,3,10.0,1,11,3,2,1,44,1,0
32,45.0,0,386940.0,5,13.0,2,3,3,4,1,40,1,0
33,30.0,1,59951.0,3,10.0,0,0,3,4,1,40,1,0
34,22.0,1,311512.0,3,10.0,0,7,0,2,1,15,1,0
35,48.0,0,242406.0,4,7.0,1,6,4,4,1,40,0,0
36,21.0,0,197200.0,3,10.0,1,6,3,4,1,40,1,0
37,19.0,0,415887.0,2,9.0,0,0,5,4,0,25,1,0
38,31.0,0,84154.0,3,10.0,0,11,0,4,1,38,1,1
39,48.0,2,265477.0,3,12.0,0,9,0,4,1,40,1,0
40,31.0,0,415887.0,4,5.0,0,6,0,4,1,43,1,0
41,53.0,2,88506.0,5,13.0,0,9,0,4,1,40,1,0
